,alternative,true,pred
0,ICV_MINI,0.17334009123162697,-inf
1,ICV_LIL,0.15391113363743875,-inf
2,ICV_MEL,0.09359689136678492,-inf
3,ICV_STOR,0.09292110153742186,-inf
4,ICV_PREM,0.07146477445514444,-inf
5,ICV_LUK,0.06943740496705525,-inf
6,BEV_MINI,0.06572056090555838,-inf
7,BEV_LIL,0.0650447710761953,-inf
8,BEV_MEL,0.05237371177563778,-inf
9,BEV_STOR,0.038351072816354116,-inf
10,BEV_PREM,0.03057948977867883,-inf
11,BEV_LUK,0.025342118601115054,-inf
12,PHEV_MINI,0.024497381314411218,-inf
13,PHEV_LIL,0.022470011826322012,-inf
14,PHEV_MEL,0.007771583037675283,-inf
15,PHEV_STOR,0.006588950836289914,-inf
16,PHEV_PREM,0.004899476262882244,-inf
17,PHEV_LUK,0.0016894745734076701,-inf
