,alternative,true,pred
0,ICV_MINI,0.1736779861463085,0.06437464552139004
1,ICV_LIL,0.148673762459875,0.0916929627019434
2,ICV_MEL,0.09393478628146647,0.15342304802370807
3,ICV_STOR,0.08937320493326575,0.06589723367466835
4,ICV_PREM,0.07281635411387058,0.036947730925541655
5,ICV_LUK,0.06825477276566988,0.007435106968707048
6,BEV_MINI,0.06673424564960298,0.05057711850480008
7,BEV_LIL,0.0640310863321507,0.06781089772709063
8,BEV_MEL,0.06014529481331306,0.1740358899203573
9,BEV_STOR,0.03514107112687954,0.09281817149755289
10,BEV_PREM,0.029058962662611928,0.027485664076606586
11,BEV_LUK,0.027538435546545025,0.005689131791743694
12,PHEV_MINI,0.02483527622909275,0.023485476672066193
13,PHEV_LIL,0.021287379624936646,0.02945562515247668
14,PHEV_MEL,0.009292110153742187,0.07220448702796949
15,PHEV_STOR,0.0067578982936306806,0.02855551292952434
16,PHEV_PREM,0.006082108464267613,0.006196036237066121
17,PHEV_LUK,0.0023652644027707384,0.0019152606467884715
