,alternative,true,pred
0,ICV_MINI,0.17942219969589457,0.06493912742471164
1,ICV_LIL,0.1522216590640311,0.09219909038677386
2,ICV_MEL,0.09241425916539957,0.15223869921243544
3,ICV_STOR,0.08954215239060652,0.06567151802771536
4,ICV_PREM,0.07366109140057442,0.036609112239729666
5,ICV_LUK,0.06893056259503294,0.008898852417323458
6,BEV_MINI,0.0650447710761953,0.05243602906799077
7,BEV_LIL,0.064537928704173,0.06764311674827589
8,BEV_MEL,0.05457002872106775,0.17212092240321333
9,BEV_STOR,0.03615475587092414,0.09276302856510721
10,BEV_PREM,0.02889001520527116,0.028724402618349913
11,BEV_LUK,0.027707383003885793,0.0060268796558738645
12,PHEV_MINI,0.025342118601115054,0.023317093337179635
13,PHEV_LIL,0.021794221996958945,0.02810437147804038
14,PHEV_MEL,0.007433688122993749,0.07192339747610449
15,PHEV_STOR,0.00506842372022301,0.028499070256066777
16,PHEV_PREM,0.004899476262882244,0.005970514273473384
17,PHEV_LUK,0.0023652644027707384,0.0019147744116353635
