,alternative,true,pred
0,ICV_MINI,0.17452272343301234,0.06374700319382483
1,ICV_LIL,0.14732218280114884,0.09061025173710961
2,ICV_MEL,0.09477952356817029,0.15243352592792586
3,ICV_STOR,0.09359689136678492,0.0664611739833992
4,ICV_PREM,0.07112687954046291,0.036462849899003606
5,ICV_LUK,0.06741003547896604,0.007503959237264451
6,BEV_MINI,0.06690319310694375,0.05417040776895785
7,BEV_LIL,0.064537928704173,0.06846387694091208
8,BEV_MEL,0.05119107957425241,0.17483070950486715
9,BEV_STOR,0.03564791349890184,0.09324834093822273
10,BEV_PREM,0.030748437236019596,0.028427504347346182
11,BEV_LUK,0.029058962662611928,0.006525843743794705
12,PHEV_MINI,0.026355803345159655,0.022282718928995734
13,PHEV_LIL,0.02382159148504815,0.028277567427127025
14,PHEV_MEL,0.008954215239060653,0.07193213693166238
15,PHEV_STOR,0.007771583037675283,0.02680793938527797
16,PHEV_PREM,0.004899476262882244,0.005643436422221163
17,PHEV_LUK,0.0013515796587261362,0.0021707536820873797
