,alternative,true,pred
0,ICV_MINI,0.1767190403784423,0.06518563027464351
1,ICV_LIL,0.15171481669200879,0.0921628609960744
2,ICV_MEL,0.09545531339753337,0.15133833984442652
3,ICV_STOR,0.09072478459199189,0.0660683389358461
4,ICV_PREM,0.06622740327758067,0.03648170003632886
5,ICV_LUK,0.0660584558202399,0.007906995882117159
6,BEV_MINI,0.06521371853353607,0.0517585451260756
7,BEV_LIL,0.06301740158810609,0.06896433401824054
8,BEV_MEL,0.05845582023990539,0.1740691578058905
9,BEV_STOR,0.03581686095624261,0.09235141145825232
10,BEV_PREM,0.029903699949315764,0.028695277248775478
11,BEV_LUK,0.027876330461226558,0.005937406053207001
12,PHEV_MINI,0.026524750802500423,0.022548219183575875
13,PHEV_LIL,0.022976854198344315,0.028113732325927548
14,PHEV_MEL,0.007771583037675283,0.07365329579291853
15,PHEV_STOR,0.007433688122993749,0.027015691756377868
16,PHEV_PREM,0.006420003378949147,0.005715308456577184
17,PHEV_LUK,0.0016894745734076701,0.0020337548047448446
