,alternative,true,pred
0,ICV_MINI,0.1684406149687447,0.0658402441076625
1,ICV_LIL,0.15289744889339416,0.09236975848212627
2,ICV_MEL,0.09190741679337726,0.1520121363680454
3,ICV_STOR,0.08869741510390268,0.06657105880653445
4,ICV_PREM,0.07636425071802669,0.03649571741201552
5,ICV_LUK,0.06741003547896604,0.007602701151898509
6,BEV_MINI,0.06622740327758067,0.05221131929109639
7,BEV_LIL,0.06234161175874303,0.06668502360742211
8,BEV_MEL,0.055245818550430814,0.17578138370573618
9,BEV_STOR,0.03649265078560568,0.09304572338001176
10,BEV_PREM,0.03210001689474573,0.027654446478503285
11,BEV_LUK,0.02889001520527116,0.00568821510800278
12,PHEV_MINI,0.028552120290589626,0.023035715253262166
13,PHEV_LIL,0.02263895928366278,0.028104577376801835
14,PHEV_MEL,0.008785267781719884,0.07102166510104772
15,PHEV_STOR,0.006082108464267613,0.027033184510466286
16,PHEV_PREM,0.004223686433519175,0.007039886002045583
17,PHEV_LUK,0.0027031593174522725,0.001807243857320399
