,alternative,true,pred
0,ICV_MINI,0.17621219800642,0.06493968284203717
1,ICV_LIL,0.1507011319479642,0.0931004583258335
2,ICV_MEL,0.08971109984794728,0.15274547364957414
3,ICV_STOR,0.08954215239060652,0.06617867550735755
4,ICV_PREM,0.07399898631525595,0.036384499476273265
5,ICV_LUK,0.06893056259503294,0.0076587827818607995
6,BEV_MINI,0.06741003547896604,0.052661711846425846
7,BEV_LIL,0.0650447710761953,0.06617835675769436
8,BEV_MEL,0.05389423889170468,0.1731904981174107
9,BEV_STOR,0.03683054570028721,0.09276283643260028
10,BEV_PREM,0.02838317283324886,0.02793706823928474
11,BEV_LUK,0.027707383003885793,0.005688655097497732
12,PHEV_MINI,0.027707383003885793,0.02314776076705658
13,PHEV_LIL,0.022301064368981247,0.028273599558456132
14,PHEV_MEL,0.008616320324379118,0.07181012894395572
15,PHEV_STOR,0.006082108464267613,0.028498542468392736
16,PHEV_PREM,0.00506842372022301,0.006758877492254027
17,PHEV_LUK,0.0018584220307484372,0.0020843916960360497
