,alternative,true,pred
0,ICV_MINI,0.1716506166582193,0.06506926977421718
1,ICV_LIL,0.15475587092414259,0.09214519754607843
2,ICV_MEL,0.094272681196148,0.15160944007158186
3,ICV_STOR,0.09309004899476263,0.06679669405633319
4,ICV_PREM,0.07247845919918905,0.036339175983137725
5,ICV_LUK,0.06842372022301065,0.008282576828909703
6,BEV_MINI,0.06572056090555838,0.05317656195610727
7,BEV_LIL,0.0650447710761953,0.06722706849970031
8,BEV_MEL,0.053725291434363914,0.1758182447183244
9,BEV_STOR,0.036999493157627975,0.09210915547552852
10,BEV_PREM,0.02889001520527116,0.028764673224002845
11,BEV_LUK,0.027031593174522722,0.005946397666222732
12,PHEV_MINI,0.026355803345159655,0.02312544003056535
13,PHEV_LIL,0.020780537252914344,0.026827932647340243
14,PHEV_MEL,0.0067578982936306806,0.07154028786442787
15,PHEV_STOR,0.006082108464267613,0.027492562461916524
16,PHEV_PREM,0.005744213549586079,0.005954005139035904
17,PHEV_LUK,0.002196316945429971,0.0017753160565702603
