,alternative,true,pred
0,ICV_MINI,0.17148166920087854,0.06498856751809252
1,ICV_LIL,0.15103902686264573,0.09064450466463046
2,ICV_MEL,0.09444162865348876,0.15107487570734923
3,ICV_STOR,0.0912316269640142,0.06602074480163841
4,ICV_PREM,0.07602635580334516,0.035658259001969096
5,ICV_LUK,0.06572056090555838,0.00856361275963071
6,BEV_MINI,0.064537928704173,0.05176454108833374
7,BEV_LIL,0.06301740158810609,0.06950119370400083
8,BEV_MEL,0.05862476769724616,0.175888768487878
9,BEV_STOR,0.03801317790167258,0.09405441186259285
10,BEV_PREM,0.02889001520527116,0.028830433493855386
11,BEV_LUK,0.028045277918567327,0.006252105724895678
12,PHEV_MINI,0.027538435546545025,0.023013966699163484
13,PHEV_LIL,0.02162527453961818,0.02745489654633206
14,PHEV_MEL,0.006926845750971448,0.07027601210354205
15,PHEV_STOR,0.005744213549586079,0.027902628824458885
16,PHEV_PREM,0.005744213549586079,0.006063325632658326
17,PHEV_LUK,0.0013515796587261362,0.0020471513789784078
