,alternative,true,pred
0,ICV_MINI,,0.06312995908292406
1,ICV_LIL,0.06521371853353607,0.0883975768354327
2,ICV_MEL,0.08869741510390268,0.14630907215788325
3,ICV_STOR,0.15458692346680183,0.06165706701730923
4,ICV_PREM,0.06842372022301065,0.033522053338610004
5,ICV_LUK,0.03767528298699105,0.0063613348935918695
6,BEV_MINI,0.007264740665652982,0.055256834885584555
7,BEV_LIL,0.05271160669031931,0.06873769857405915
8,BEV_MEL,0.06673424564960298,0.17890222791604893
9,BEV_STOR,0.17773272512248692,0.0973972158755604
10,BEV_PREM,0.0932589964521034,0.029897039060257452
11,BEV_LUK,0.02720054063186349,0.006488705929555566
12,PHEV_MINI,0.004899476262882244,0.02456899463938372
13,PHEV_LIL,0.022976854198344315,0.027856095479484273
14,PHEV_MEL,0.025173171143774285,0.07447663123631988
15,PHEV_STOR,0.07467477614461902,0.028335373967986025
16,PHEV_PREM,0.02500422368643352,0.006379262106024197
17,PHEV_LUK,0.0059131610069268455,0.00232685700398379
