,alternative,true,pred
0,ICV_MINI,,0.06292080391274728
1,ICV_LIL,0.06690319310694375,0.09103166752189928
2,ICV_MEL,0.09410373373880723,0.14709576555620424
3,ICV_STOR,0.14766007771583037,0.06145462293238802
4,ICV_PREM,0.07045108971109985,0.03305746881157619
5,ICV_LUK,0.037844230444331814,0.006060098556890242
6,BEV_MINI,0.008109477952356817,0.05287838782654483
7,BEV_LIL,0.05676634566649772,0.06892895092313307
8,BEV_MEL,0.06555161344821761,0.1812492242963183
9,BEV_STOR,0.16776482513938165,0.0950543974720264
10,BEV_PREM,0.0912316269640142,0.03076182809413392
11,BEV_LUK,0.025848960973137353,0.00615910287377169
12,PHEV_MINI,0.007095793208312215,0.02253758410393287
13,PHEV_LIL,0.025342118601115054,0.027861019157896485
14,PHEV_MEL,0.025173171143774285,0.07565210216527239
15,PHEV_STOR,0.07230951174184828,0.02870190011567938
16,PHEV_PREM,0.02889001520527116,0.006487259720797107
17,PHEV_LUK,0.006588950836289914,0.0021078159587884283
