,alternative,true,pred
0,ICV_MINI,0.17807062003716845,0.06381192183332683
1,ICV_LIL,0.15053218449062342,0.09141077187603665
2,ICV_MEL,0.09477952356817029,0.1528030622201456
3,ICV_STOR,0.08886636256124346,0.06691177180448549
4,ICV_PREM,0.07214056428450752,0.03700432697954321
5,ICV_LUK,0.06842372022301065,0.00822149116511809
6,BEV_MINI,0.06588950836289914,0.05378868374416749
7,BEV_LIL,0.06521371853353607,0.06719187055058927
8,BEV_MEL,0.05051528974488934,0.1725715243485793
9,BEV_STOR,0.03497212366953877,0.09298685216540989
10,BEV_PREM,0.031086332150701133,0.028048281056535843
11,BEV_LUK,0.030241594863997297,0.005855965853836898
12,PHEV_MINI,0.027369488089204256,0.023824288870060707
13,PHEV_LIL,0.02027369488089204,0.027654141989890985
14,PHEV_MEL,0.007433688122993749,0.07243054107462464
15,PHEV_STOR,0.006926845750971448,0.027372588782841448
16,PHEV_PREM,0.005575266092245312,0.005970700465476912
17,PHEV_LUK,0.0016894745734076701,0.0021412152193312573
