,alternative,true,pred
0,ICV_MINI,,0.06394296028346859
1,ICV_LIL,0.06622740327758067,0.09314589280981693
2,ICV_MEL,0.09089373204933265,0.1534927922151568
3,ICV_STOR,0.14174691670890352,0.06703073616072396
4,ICV_PREM,0.06588950836289914,0.03619690040772467
5,ICV_LUK,0.03885791518837641,0.007685423717227471
6,BEV_MINI,0.008278425409697584,0.05223263890409227
7,BEV_LIL,0.055414766007771586,0.0670127281272491
8,BEV_MEL,0.06825477276566988,0.17471296294054367
9,BEV_STOR,0.1772258827504646,0.09111444505274943
10,BEV_PREM,0.09292110153742186,0.028567130669676213
11,BEV_LUK,0.030748437236019596,0.005692980972410663
12,PHEV_MINI,0.00456158134820071,0.022803202459362206
13,PHEV_LIL,0.021287379624936646,0.027549760840614185
14,PHEV_MEL,0.028721067747930394,0.07322727541804017
15,PHEV_STOR,0.0753505659739821,0.027674557828934895
16,PHEV_PREM,0.02551106605845582,0.006040275392603045
17,PHEV_LUK,0.005744213549586079,0.0018773357996068126
