,alternative,true_dk,true_cph,pred_dk,pred_cph
0,ICV_MINI,,,0.0653157416986653,0.0699027513732542
1,ICV_LIL,0.1008616320324379,0.08939213349225268,0.09172395484756504,0.07979430484575174
2,ICV_MEL,0.15036323703328264,0.12693682955899882,0.15164857942886104,0.1311028207563289
3,ICV_STOR,0.06284845413076533,0.056615017878426696,0.06818303947787688,0.06454659014948806
4,ICV_PREM,0.039871599932421016,0.03873659117997616,0.03770177185818977,0.036318569646803155
5,ICV_LUK,0.00794053049501605,0.00834326579261025,0.00833960428123848,0.008534842566860785
6,BEV_MINI,0.05085318465957087,0.06555423122765197,0.05251723747679812,0.06121344907118021
7,BEV_LIL,0.06521371853353607,0.06495828367103695,0.06887457171398664,0.0694752320959506
8,BEV_MEL,0.1669200878526778,0.17163289630512515,0.17104717504424008,0.17443657430590892
9,BEV_STOR,0.09494847102551107,0.11501787842669844,0.08990864913317627,0.1021535735328263
10,BEV_PREM,0.02889001520527116,0.032777115613825986,0.02898833072246685,0.0354084912740673
11,BEV_LUK,0.008616320324379118,0.008939213349225268,0.005812362570584873,0.007281984789414212
12,PHEV_MINI,0.023652644027707382,0.026817640047675805,0.023307115340771126,0.02600665335189134
13,PHEV_LIL,0.02956580503463423,0.021454112038140644,0.028933888950793588,0.027889698766435492
14,PHEV_MEL,0.07180266936982599,0.06615017878426699,0.07019912942678425,0.06586066315458018
15,PHEV_STOR,0.02889001520527116,0.029797377830750895,0.02860229917849071,0.03044461337181402
16,PHEV_PREM,0.005744213549586079,0.004767580452920143,0.006671164698638735,0.0070618514567213795
17,PHEV_LUK,0.0027031593174522725,0.003575685339690107,0.0022253841508723432,0.0025673354907232407
